id,lap1,lap2,lap3,lap4,lap5,lap6,lap7,lap8,lap9,lap10
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,151.035,151.387,151.465,151.475,151.641,151.769,151.913,152.195,152.634,152.654,151.816
3,152.07,152.311,152.325,152.568,152.592,152.852,152.909,153.121,153.653,153.85,152.825
5,150.848,151.027,151.11,151.326,151.525,151.81,151.882,152.06,152.444,152.529,151.656
7,148.678,148.743,148.875,148.893,148.926,149.056,149.081,149.309,149.479,149.855,149.089
8,153.79,154.359,154.57,154.686,154.775,155.363,155.429,155.936,156.038,156.636,155.158
11,151.702,151.915,151.972,152.202,152.287,152.347,152.573,152.961,166.56,-1.0,153.835
13,148.745,148.862,148.868,148.874,148.875,149.127,149.382,149.521,149.93,149.944,149.212
14,150.363,150.415,150.721,151.063,151.288,151.301,151.594,151.658,151.743,152.35,151.249
15,151.899,152.041,152.178,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,152.039
16,148.726,148.882,148.917,148.964,148.989,149.116,149.181,149.363,149.418,149.768,149.132
18,153.543,154.598,154.765,154.848,155.915,156.255,156.411,156.707,156.823,156.96,155.682
21,148.989,149.032,149.583,149.621,149.756,149.929,149.991,150.101,150.304,150.73,149.803
31,150.244,150.68,151.057,152.717,152.924,153.363,154.138,169.529,-1.0,-1.0,154.331
41,149.262,149.337,149.356,149.497,149.524,149.676,149.88,150.033,150.188,150.333,149.708
46,148.63,148.659,148.796,148.933,149.007,149.011,149.095,149.258,149.558,149.935,149.088
47,149.846,149.901,150.145,150.398,150.701,150.715,150.772,150.992,151.003,151.947,150.642
51,153.568,153.757,153.929,153.935,154.082,154.247,154.71,155.078,155.33,163.73,155.236
55,148.679,148.744,148.856,148.908,149.059,149.149,149.288,149.538,149.726,149.726,149.167
57,153.619,153.753,153.966,154.071,154.096,154.63,154.917,155.122,155.326,155.387,154.488
71,149.526,149.685,149.765,149.935,150.11,150.43,150.436,150.486,150.564,150.699,150.163
72,148.848,148.884,149.004,149.062,149.128,149.129,149.218,149.568,149.761,149.78,149.238
73,152.063,152.608,152.625,152.914,152.992,153.183,153.451,153.721,154.143,154.611,153.231
78,149.293,149.308,149.403,149.495,149.615,149.784,149.824,149.846,149.87,150.204,149.664
80,152.369,152.656,153.479,153.757,154.007,154.522,154.566,154.632,155.391,156.504,154.188
86,153.294,153.445,153.667,153.677,153.795,153.974,154.425,154.568,154.654,154.926,154.042
88,149.418,150.255,150.32,150.352,150.457,151.1,151.377,151.469,151.479,151.675,150.79
89,149.744,149.754,149.877,149.905,150.375,150.683,150.689,150.818,151.059,151.121,150.402
93,151.169,151.185,151.266,151.387,151.46,151.57,151.675,151.758,151.991,152.127,151.558
98,149.983,150.114,150.18,150.254,150.307,150.311,150.352,150.381,150.456,150.498,150.283
113,149.926,149.971,149.972,150.465,150.515,151.157,151.454,164.429,198.518,221.954,163.836
